date,type,entry_price,exit_price,size,pnl,commission
2021-01-12 00:00:00,Short,37472.4,35410.37,-0.26697443479509847,550.5092937805366,9.72891816352558
2021-01-16 00:00:00,Short,33829.4,36737.43,-0.31158638272085837,-906.1025485437374,10.993831649888875
2021-01-18 08:00:00,Short,35994.98,36100.55,-0.26736183755133025,-28.225389190293857,9.63779669001853
2021-01-20 20:00:00,Short,35951.83,35197.12,-0.2665976050138605,201.20387848001042,9.484069834625455
2021-01-21 20:00:00,Short,34624.27,32468.66,-0.2823897982019102,608.7222729020187,9.473179481737443
2021-01-25 00:00:00,Short,30846.59,32259.45,-0.33644505256906415,-475.3497569727282,10.615857472612733
2021-01-28 04:00:00,Short,32254.19,31406.9,-0.306652283955683,259.8234136728098,9.760909323804146
2021-02-23 16:00:00,Short,53236.69,48602.02,-0.19048679776132582,882.8434469804849,9.699464878022155
2021-03-05 20:00:00,Short,49819.490000000005,49285.76,-0.22107870580023606,117.9963376467607,10.955030204004423
2021-03-06 20:00:00,Short,48171.02,48341.0,-0.23086648777049965,-39.24268559123027,11.140695542518108
2021-03-17 20:00:00,Short,56150.8,57867.42,-0.19715997780127167,-338.4487610932181,11.239914862070256
2021-03-21 16:00:00,Short,57294.12000000001,57159.04,-0.1871232437925398,25.276607771497964,10.708423280753284
2021-03-23 16:00:00,Short,57082.99,55165.2,-0.1880694430646484,360.6776972149522,10.555227289157418
2021-03-24 08:00:00,Short,54350.54,55464.46,-0.2039665197141577,-227.2023856399942,11.199291681205114
2021-03-25 20:00:00,Short,54736.520000000004,52195.19,-0.19817275247561214,503.6223610488477,10.59547564881197
2021-03-29 12:00:00,Short,54442.89,57854.14,-0.2082974598972235,-710.5547100744037,11.695593051501152
2021-04-04 16:00:00,Short,57051.95,57918.11,-0.18611225829197123,-161.20299364217445,10.698668751281714
2021-04-05 16:00:00,Short,57467.12,59020.0,-0.18177635717510449,-282.27686953007577,10.587302165709628
2021-04-08 04:00:00,Short,58576.59,56540.62,-0.17333374235763477,352.9022994278726,9.976848409534869
2021-04-17 04:00:00,Short,61414.88,62372.27,-0.17090701073775083,-163.62466301021516,10.578045887122787
2021-04-18 16:00:00,Short,60886.93,55452.45,-0.16952777372623778,921.2952957597653,9.861378044045399
2021-04-20 12:00:00,Short,54581.82,56266.83,-0.20579666472143054,-346.7694380222581,11.406141229436601
2021-04-21 16:00:00,Short,55204.6,56149.93,-0.19699953699209538,-186.22957230473787,10.968395425986198
2021-04-23 12:00:00,Short,53787.62,50070.36,-0.19852301862162558,737.9616762014243,10.30909984877221
2021-04-26 04:00:00,Short,49798.96,52398.99,-0.22900691591351427,-595.4248515826142,11.702018671091768
2021-05-05 04:00:00,Short,55452.159999999996,54798.87,-0.19473734532304243,127.21996032608915,10.734996450665555
2021-05-08 20:00:00,Short,56128.42,59030.56,-0.1944664279179332,-564.3687991177505,11.197277741636356
2021-05-16 04:00:00,Short,55733.76000000001,48386.62,-0.185516413484719,1363.0150621701196,9.658019734133035
2021-05-17 08:00:00,Short,47727.26,45143.28,-0.2449938317777739,633.059161437133,11.376354726935514
2021-05-19 20:00:00,Short,44197.73,39337.45,-0.2786244251540583,1354.192721087768,11.637470753820391
2021-05-22 12:00:00,Short,40525.39,38157.75,-0.3369912325497061,797.873921833986,13.25776416474054
2021-05-24 00:00:00,Short,37458.51,34681.44,-0.3856299771017698,1070.9214405100117,13.90966363331141
2021-05-28 16:00:00,Short,36537.17,36751.59,-0.42419143412471483,-90.95512730502061,15.544232104811016
2021-05-30 08:00:00,Short,34416.26,35996.12,-0.44723762743128,-706.5728380735823,15.745532886494857
2021-05-31 08:00:00,Short,35641.26,35850.17,-0.41159960262005985,-85.98727298335514,14.712922089369915
2021-06-08 20:00:00,Short,36706.8,32864.19,-0.39692783934286685,1525.2388847372938,13.807331370822098
2021-06-13 20:00:00,Short,35572.84,37650.0,-0.45206988934494474,-939.021491351747,16.550920588161297
